id,city,name,link,img,address,rating,price,Swimming pool [kids],Nightclub,Spa,Restaurants,Hot tub,Steamroom,Front desk [24-hour],Family room,Babysitting service,Garden,Bar,Kids club,Shops,Kitchen,Poolside bar,Swimming pool [outdoor],Mini golf course,Fitness center,Tennis court,Massage,Sauna,Golf course [on-site],Swimming pool [indoor],Private beach
NhaTrang13,Nha Trang,Holi Beach Hotel & Apartments,"https://www.agoda.com/holi-beach-hotel-apartments/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,4",https://pix5.agoda.net/hotelImages/359/3590404/3590404_18111711250069764115.jpg?s=1024x768,"Floor 21, Maple Building, 04 Ton Dan Street, Loc Tho, Nha Trang, Vietnam",8.1,486086,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang14,Nha Trang,The Summer Hotel,https://www.agoda.com/the-summer-hotel_3/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/165/165709/165709_14032700010018871211.jpg?s=1024x768,"34C-D Nguyen Thien Thuat Street, Tan Lap, Nha Trang, Vietnam",8.1,683522,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang15,Nha Trang,TTC Resort Premium Doc Let,https://www.agoda.com/ttc-resort-premium-doc-let/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/113/1135315/1135315_15111216200037689827.jpg?s=1024x768,"Dong Cat Village, Ninh Hai Ward, Ninh Hoa Town, Doc Let, Nha Trang, Vietnam",7.4,512554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang16,Nha Trang,Golden Sea Hotel Nha Trang,https://www.agoda.com/golden-sea-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=2,https://pix6.agoda.net/hotelImages/284114/-1/8193af158c4fe43feb8872061bf0664d.jpg?s=1024x768,"27A Hung Vuong Street, Loc Tho, Nha Trang, Vietnam",8.0,347390,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang17,Nha Trang,Diamond Bay Hotel,https://www.agoda.com/diamond-bay-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/1162080/-1/8d5d14409aed1cd0dee7a427d01b562a.jpg?s=1024x768,"20 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.6,1743641,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NhaTrang18,Nha Trang,Rex Hotel and Apartment,https://www.agoda.com/rex-hotel-and-apartment/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=3,https://pix5.agoda.net/hotelImages/810/810068/810068_15072710520033069751.jpg?s=1024x768,"14 Trinh Phong, Phuoc Tien, Nha Trang, Vietnam",7.6,329004,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NhaTrang19,Nha Trang,Yasaka Saigon Resort Hotel & Spa,https://www.agoda.com/yasaka-saigon-resort-hotel-spa/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/11007/-1/d0c682b82043468df34b912ae6d68553.jpg?s=1024x768,"18 Tran Phu Street, Loc Tho, Nha Trang, Vietnam,",7.0,613769,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang20,Nha Trang,Poseidon Nha Trang Hotel,https://www.agoda.com/poseidon-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/1311007/-1/0507e67936a64dd909a5afab06d7be85.jpg?s=1024x768,"30 Tran Quang Khai Street, Loc Tho, Nha Trang, Vietnam",8.2,1125541,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang21,Nha Trang,Xavia Hotel,https://www.agoda.com/xavia-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/4367149/-1/7893e39b7b598559c7f466c88edccb6c.jpg?s=1024x768,"9 Hoang Dieu Street, Vinh Truong, Nha Trang, Vietnam",9.0,862416,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
NhaTrang22,Nha Trang,Galliot Hotel Nha Trang,https://www.agoda.com/galliot-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/546/546677/546677_17011114450050253140.jpg?s=1024x768,"61A Nguyen Thien Thuat Street, Loc Tho, Nha Trang, Vietnam",8.4,810390,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
NhaTrang23,Nha Trang,OYO 243 Eden Hotel Nha Trang,https://www.agoda.com/oyo-243-eden-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/8233379/-1/e273fb624b11f24aea27622760f2ee1a.jpg?s=1024x768,"95/1, Hung Vuong Loc Tho, Thanh, pho, Nha Trang, Khanh Hoa, 650000, Loc Tho, Nha Trang, Vietnam, 650000",7.8,192884,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang24,Nha Trang,Aroma Nha Trang Boutique Hotel,https://www.agoda.com/aroma-nha-trang-boutique-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/119/1197600/1197600_16062410070044046903.jpg?s=1024x768,"26A Tran Quang Khai Street, Loc Tho, Nha Trang, Vietnam",7.0,763636,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NhaTrang25,Nha Trang,Liberty Central Nha Trang Hotel,https://www.agoda.com/liberty-central-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/869/869046/869046_15080410160033584775.jpg?s=1024x768,"9 Biet Thu Street, Loc Tho, Nha Trang, Vietnam",8.7,1140000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NhaTrang26,Nha Trang,Apus Hotel,https://www.agoda.com/apus-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/103/1032084/1032084_15091909300036207749.jpg?s=1024x768,"95/9, Hung Vuong Street, Loc Tho, Nha Trang, Vietnam, 8458",8.4,690476,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
NhaTrang27,Nha Trang,Stella Maris Nha Trang Hotel,https://www.agoda.com/stella-maris-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/117/1177244/1177244_16061209380043433373.jpg?s=1024x768,"57 Tue Tinh Street, Loc Tho, Nha Trang, Vietnam",8.0,915584,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NhaTrang28,Nha Trang,Havana Nha Trang Hotel,https://www.agoda.com/havana-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/445/445610/445610_16110115470048318220.jpg?s=1024x768,"38 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.7,2127145,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
NhaTrang29,Nha Trang,Sun City Hotel,https://www.agoda.com/sun-city-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/444/444892/444892_16112316570049022225.jpg?s=1024x768,"18 Ton Dan, Loc Tho, Nha Trang, Vietnam",7.5,519481,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang30,Nha Trang,Nha Trang Horizon Hotel,https://www.agoda.com/nha-trang-horizon-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/6262325/-1/872229b77ede1264daba2c43f8fb3da2.jpg?s=1024x768,"Dương Hiến Quyền, Vinh Hoa, Nha Trang, Vietnam, 650000",9.0,1272727,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
NhaTrang31,Nha Trang,Cam Ranh Riviera Beach Resort and Spa,https://www.agoda.com/cam-ranh-riviera-beach-resort-and-spa/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/860/860808/860808_15072711150033072359.jpg?s=1024x768,"Northern Peninsula Cam Ranh, Cam Hai Dong, Nha Trang, Vietnam",8.3,2805195,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
NhaTrang32,Nha Trang,Anrizon Hotel Nha Trang,https://www.agoda.com/anrizon-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=4,https://pix5.agoda.net/hotelImages/5930920/-1/45585124b10b86e92663e8e2aa467f07.jpg?s=1024x768,"03 -05 , Pham Van Dong Street,, Vinh Phuoc, Nha Trang, Vietnam, 650000",8.0,847619,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang33,Nha Trang,Muong Thanh Luxury Khanh Hoa,https://www.agoda.com/muong-thanh-luxury-khanh-hoa/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/635/6359030/6359030_18121710040070420192.jpg?s=1024x768,"Zone 1 – Tan Lap Resident District, Xuong Huan Ward, Xuong Huan, Nha Trang, Vietnam, 650000",8.3,1385281,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NhaTrang34,Nha Trang,Blue Sea 2 Hotel Nha Trang,https://www.agoda.com/blue-sea-2-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/111/1110459/1110459_17053110060053342517.jpg?s=1024x768,"129 Cu Chi street, Vinh Hai, Nha Trang, Vietnam, 0258",7.2,121212,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang35,Nha Trang,Regalia Nha Trang Hotel,https://www.agoda.com/regalia-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/772/772294/772294_15072716250033111358.jpg?s=1024x768,"98B Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.5,1000000,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang36,Nha Trang,The Art Nest Hotel Nha Trang,https://www.agoda.com/the-art-nest-hotel-nha-trang_2/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/6626241/-1/a457472ed69706901b2dc9b2114b71d7.jpg?s=1024x768,"07 Hung Vuong street, Loc Tho ward, Nha Trang city, Khanh Hoa province, Vietnam, Loc Tho, Nha Trang, Vietnam, 65000",8.6,1142857,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang37,Nha Trang,Nice Swan Hotel Nha Trang,https://www.agoda.com/nice-swan-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/334/334892/334892_120525170942401.jpg?s=1024x768,"64 Hung Vuong Street, Loc Tho, Nha Trang, Vietnam",7.4,346320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang38,Nha Trang,Parama Apartment Nha Trang,https://www.agoda.com/parama-apartment-nha-trang_2/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/6915327/-1/9db142a6a4b3cd1e892ebead909e36fc.jpg?s=1024x768,"85 Street A4, VCN, Phuoc Hai, Nha Trang, Vietnam, 65000",9.2,389610,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NhaTrang39,Nha Trang,Dendro Hotel Nha Trang,https://www.agoda.com/dendro-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/412672/-1/d4236a8bccba4fcebabc3b720dcf1227.jpg?s=1024x768,"92 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.4,610909,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang40,Nha Trang,Amiana Resort and Villas Nha Trang,https://www.agoda.com/amiana-resort-and-villas-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/443515/-1/810cfc6eef7ea9d089f0b308986b4f21.jpg?s=1024x768,"Nha Trang Bay, Pham Van Dong Street, Vinh Hoa, Nha Trang, Vietnam",8.7,7054259,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
NhaTrang41,Nha Trang,DTX Hotel Nha Trang,https://www.agoda.com/dtx-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/6254207/-1/323ec020d2ab1522f0ca31ebd141f844.jpg?s=1024x768,"3A Quan Tran, Hung Vuong Str, Loc Tho, Nha Trang, Khanh Hoa, Loc Tho, Nha Trang, Vietnam, 650000",9.0,1012987,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
NhaTrang42,Nha Trang,Vinpearl Resort & Spa Nha Trang Bay,https://www.agoda.com/vinpearl-resort-spa-nha-trang-bay/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/805030/-1/6f648888cb01fb73c94dc984998a5e09.jpg?s=1024x768,"Hon Tre Island, Hon Tre, Nha Trang, Vietnam",8.5,3290043,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
NhaTrang43,Nha Trang,Vesna Hotel,https://www.agoda.com/vesna-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/6425969/-1/b997b35a56e5684db4bc7c65298a81f7.jpg?s=1024x768,"100 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",9.2,1169696,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
NhaTrang44,Nha Trang,The Costa Nha Trang Residences,https://www.agoda.com/the-costa-nha-trang-residences/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/528/528933/528933_14031316270018687236.jpg?s=1024x768,"32 - 34 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.5,1589610,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
NhaTrang45,Nha Trang,Wild Beach Resort,https://www.agoda.com/wild-beach-resort/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/165689/-1/715c9ab74822d6b0168d7ac3c3974030.jpg?s=1024x768,"Ninh Tinh Village, Ninh Phuoc Hamlet, Ninh Hoa District, Ninh Van Bay, Nha Trang, Vietnam",7.1,974026,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NhaTrang46,Nha Trang,Diamond Bay Condotel - Resort Nha Trang,https://www.agoda.com/diamond-bay-condotel-resort-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=5,https://pix6.agoda.net/hotelImages/1576911/-1/94ba7f762bccc7111ad6587305e26a66.jpg?s=1024x768,"Nguyen Tat Thanh Boulevard, Phuoc Ha Hamlet, Phuoc Dong Commune, Nhatrang City, Khanh Hoa Province, Phuoc Ha, Nha Trang, Vietnam, 650000",7.4,1439394,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang47,Nha Trang,Diamond Bay Resort & Spa,https://www.agoda.com/diamond-bay-resort-spa/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/108455/-1/7ea8ec83454d61a36b0939f83e36590d.jpg?s=1024x768,"Nguyen Tat Thanh Street, Phuoc Ha, Phuoc Dong, Phuoc Ha, Nha Trang, Vietnam",7.9,1928571,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
