id,city,name,link,img,address,rating,price,Poolside bar,Restaurants,Water sports (motorized),Garden,Private beach,Kids club,Bar,Family room,Babysitting service,Tennis court,Swimming pool [outdoor],Shops,Spa,Smoking area,Massage,Front desk [24-hour],Swimming pool [indoor],Sauna,Fitness center,Kitchen,Hot tub
DaNang10,Da Nang,Sea Phoenix Da Nang Hotel,https://www.agoda.com/sea-phoenix-da-nang-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/860867/-1/495ae253e9a6858fac0593227a7c3afa.jpg?s=1024x768,"115 Ho Xuan Huong, Phuoc My, Da Nang, Vietnam, 550000",7.8,728197,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
DaNang11,Da Nang,Adaline Hotel & Suite,https://www.agoda.com/adaline-hotel-suite/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/189/1899405/1899405_17041214310052340392.jpg?s=1024x768,"45-47 Vo Van Kiet, Phuoc My, Da Nang, Vietnam",8.5,404040,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang12,Da Nang,Minh Toan Galaxy Hotel Da Nang,https://www.agoda.com/minh-toan-galaxy-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/625/625913/625913_15100619350036678492.jpg?s=1024x768,"306 2/9 Street, Hai Chau, Da Nang, Vietnam",8.2,967920,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
DaNang13,Da Nang,Muong Thanh Grand Da Nang Hotel,https://www.agoda.com/muong-thanh-grand-da-nang-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/502/502099/502099_14060516240019719334.jpg?s=1024x768,"962 Ngo Quyen, Son Tra District, Phuoc My, Da Nang, Vietnam, 59000",7.5,936000,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
DaNang14,Da Nang,Eden Hotel Danang,https://www.agoda.com/eden-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=5,https://pix6.agoda.net/hotelImages/5690874/-1/be2efb85c8dbfc6fdb305fcd0ab37160.jpg?s=1024x768,"294 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Phuoc My, Da Nang, Vietnam, 550000",8.4,963109,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
DaNang15,Da Nang,Meliora Hotel & Apartment,https://www.agoda.com/meliora-hotel-apartment/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=1,https://pix6.agoda.net/hotelImages/7475275/-1/ad4e21eb71707a61365624747ddf9ea8.jpg?s=1024x768,"32-33 Vu Mong Nguyen, Hoa Hai, Da Nang, Vietnam",9.4,935065,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
DaNang16,Da Nang,Palmier Hotel,https://www.agoda.com/palmier-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/937/937111/937111_16032609470041083243.jpg?s=1024x768,"305 Tran Hung Dao St., Son Tra District, Phuoc My, Da Nang, Vietnam, 550000",8.4,382095,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
DaNang17,Da Nang,Muong Thanh Luxury Da Nang hotel,https://www.agoda.com/muong-thanh-luxury-da-nang-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/219/2190907/2190907_17080417080054905485.jpg?s=1024x768,"No 270, Vo Nguyen Giap Street, My An ward, Ngu Hanh Son District, Da Nang city, Vietnam, Phuoc My, Da Nang, Vietnam, 550000",8.4,1709957,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
DaNang18,Da Nang,Cordial Hotel,https://www.agoda.com/cordial-hotel_2/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=4,https://pix5.agoda.net/hotelImages/6428461/-1/d1b00fe79eeb99919921336f96df75cc.jpg?s=1024x768,"30 Loseby St, An Hai Bac Ward, Son Tra District, Phuoc My, Da Nang, Vietnam, 550000",8.7,567532,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang19,Da Nang,Da Nang Riverside Hotel,https://www.agoda.com/da-nang-riverside-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/161/161687/161687_19092508510081333104.jpg?s=1024x768,"A30, Tran Hung Dao Street, Son Tra District, Phuoc My, Da Nang, Vietnam, 550000",7.3,1264762,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang20,Da Nang,Nhat Linh Hotel Da Nang,"https://www.agoda.com/nhat-linh-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,2",https://pix5.agoda.net/hotelImages/666/666257/666257_17093015150056933255.jpg?s=1024x768,"194 Nguyen Chi Thanh, Hai Chau, Da Nang, Vietnam",8.2,555584,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang21,Da Nang,Belle Maison Parosand Danang,https://www.agoda.com/belle-maison-parosand-danang_3/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/261/2614325/2614325_17090915280056183977.jpg?s=1024x768,"216 Vo Nguyen Giap, Phuoc My, Da Nang, Vietnam, 550000",8.8,1087984,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
DaNang22,Da Nang,Sun River Hotel,https://www.agoda.com/sun-river-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/161693/-1/2a02e8d4c20139018dc9650ef37b1e0f.jpg?s=1024x768,"132-134-136 Bach Dang Street, Hai Chau District, Hai Chau, Da Nang, Vietnam",8.2,833333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
DaNang23,Da Nang,City Hostel Da Nang,https://www.agoda.com/city-hostel-da-nang_3/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=1,https://pix6.agoda.net/hotelImages/594/5943447/5943447_18110613340069506192.jpg?s=1024x768,"114 Yen Bai, Hai Chau, Hai Chau, Da Nang, Vietnam, 550000",9.1,543648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang24,Da Nang,Orchid Hotel Danang,https://www.agoda.com/orchid-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/429789/-1/2ef1c6019fbcc4c001ff0c5ce01090a8.jpg?s=1024x768,"154 Vo Nguyen Giap street, Son Tra district,Da Nang City, Phuoc My, Da Nang, Vietnam",7.2,569697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang25,Da Nang,Green House Hotel,https://www.agoda.com/green-house-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=1,https://pix5.agoda.net/hotelImages/861/861865/861865_15082612220035087515.jpg?s=1024x768,"22-24 Ha Chuong, Son Tra, Phuoc My, Da Nang, Vietnam, 59000",8.6,411255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang26,Da Nang,Richico Apartment and Hotel,https://www.agoda.com/richico-apartment-and-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/1002443/-1/2d80f9ce176d20903c98b1347abfb359.jpg?s=1024x768,"176-178 Nguyen Van Thoai, Phuoc My, Da Nang, Vietnam, 550000",8.0,498874,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang27,Da Nang,Cali Night Hotel Da Nang,https://www.agoda.com/cali-night-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/616/6169533/6169533_18112114480069839866.jpg?s=1024x768,"30-32 An Duong Vuong, My An ward, Ngu Hanh Son District, Danang, Phuoc My, Da Nang, Vietnam, 550000",5.7,173160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang29,Da Nang,Dang Ha Hotel Danang,https://www.agoda.com/dang-ha-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/443/443456/443456_16050516480042083286.jpg?s=1024x768,"52 Le Tan Toan, Son Tra District, Phuoc My, Da Nang, Vietnam",7.8,223377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang30,Da Nang,Sea Flower Hotel,https://www.agoda.com/sea-flower-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/890213/-1/22cbff1a0834c3d81726f11070423e62.jpg?s=1024x768,"352-354 Vo Nguyen Giap st, Bac My An Beach, Da Nang city, Phuoc My, Da Nang, Vietnam",7.5,404745,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang31,Da Nang,White Snow Hotel Danang,https://www.agoda.com/white-snow-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/446/446424/446424_13060414490012636426.jpg?s=1024x768,"97 - 99 Nguyen Van Linh (extended), Hai Chau, Da Nang, Vietnam",7.7,526407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang32,Da Nang,Hoang Quan Hotel,https://www.agoda.com/hoang-quan-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=3,https://pix6.agoda.net/hotelImages/230/230670/230670_17051621110053029566.jpg?s=1024x768,"51 Hoang Ke Viem, Phuoc My, Da Nang, Vietnam",6.8,207273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang33,Da Nang,Mitisa Hotel Danang,https://www.agoda.com/mitisa-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/3002196/-1/a7f2586aea0f6c1e429c4ec5d7ab4749.jpg?s=1024x768,"67-69 Nguyen Van Linh St, Hai Chau Distrit, Da Nang, Hai Chau, Da Nang, Vietnam, 550000",9.1,865801,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
DaNang34,Da Nang,Lan Nhi Hotel,https://www.agoda.com/lan-nhi-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=2,https://pix6.agoda.net/hotelImages/876/876521/876521_16091410150046428998.jpg?s=1024x768,"66 Ha Bong, Phuoc My, Da Nang, Vietnam, 5000",8.2,303030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang35,Da Nang,Monarque Hotel Danang,https://www.agoda.com/monarque-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/2613181/-1/5561e91ce4cb9041a3f4c232f7455271.jpg?s=1024x768,"238 Vo Nguyen Giap, Phuoc My, Da Nang, Vietnam, 550000",9.4,1234753,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
DaNang36,Da Nang,DELICATE HOTEL & APARTMENT,https://www.agoda.com/delicate-hotel-apartment_2/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=3,https://pix5.agoda.net/hotelImages/6373185/-1/3d1e63ae67c75a84a1b04dde7881c285.jpg?s=1024x768,"85 DO BI, Phuoc My, Da Nang, Vietnam, 550000",9.2,259740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
DaNang37,Da Nang,Lang Co Resort - Stork Village,https://www.agoda.com/lang-co-resort-stork-village/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/305/305522/305522_14032617520018866772.jpg?s=1024x768,"Lang Co Town, Phu Loc District, Lang Co, Da Nang, Vietnam",5.9,692641,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DaNang38,Da Nang,Konoha Boutique Villa,https://www.agoda.com/konoha-boutique-villa/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/6590977/-1/9e5b0196909afa44cce950e5a180376b.jpg?s=1024x768,"90 Hoang Bich Son, Son Tra District, Phuoc My, Da Nang, Vietnam, 550000",8.9,909091,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DaNang39,Da Nang,Seafront Hotel Da Nang,https://www.agoda.com/seafront-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/648/648865/648865_15060511280028632234.jpg?s=1024x768,"240 Vo Nguyen Giap, Phuoc My, Da Nang, Vietnam, 0236",7.1,607792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang40,Da Nang,Iris Hotel Danang,https://www.agoda.com/iris-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/411/411331/411331_16112918520049212490.jpg?s=1024x768,"181-183 Le Duan Street, Hai Chau, Da Nang, Vietnam",7.8,562771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang41,Da Nang,Dana Pearl Hotel Da Nang,https://www.agoda.com/dana-pearl-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/583/583496/583496_14032312280018819810.jpg?s=1024x768,"165L Le Loi - Corner Le Loi-Hai Phong street, Hai Chau district, Hai Chau, Da Nang, Vietnam",7.4,595238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaNang42,Da Nang,Dylan Hotel Danang,https://www.agoda.com/dylan-hotel-danang_2/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=2,https://pix6.agoda.net/hotelImages/2401246/-1/ebbc43f379edb6ed9dfc86a29da32f1d.jpg?s=1024x768,"93, 95 Ha Bong, Phuoc My, Da Nang, Vietnam, 550000",8.7,857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DaNang43,Da Nang,Danang Moment - Boutique Serviced Apartment,https://www.agoda.com/danang-moment-boutique-serviced-apartment_2/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/218/2181240/2181240_17052511270053221564.jpg?s=1024x768,"D10, D11 An Thuong 34, My An Ward, Ngu Hanh Son District, Da Nang City., Phuoc My, Da Nang, Vietnam",9.0,663722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DaNang45,Da Nang,Brilliant Hotel Danang,https://www.agoda.com/brilliant-hotel-danang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix6.agoda.net/hotelImages/302/302683/302683_14062508280020015126.jpg?s=1024x768,"162 Bach Dang Street, Hai Chau, Da Nang, Vietnam",8.7,1682251,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
DaNang46,Da Nang,Alisia Beach Hotel Da Nang,https://www.agoda.com/alisia-beach-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/5056358/-1/ed3092e5bd9154779bc36a43a0a3539a.jpg?s=1024x768,"19 Hoang Sa, Son Tra, Da Nang, Phuoc My, Da Nang, Vietnam, 59000",8.3,636807,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
